prod_cd,prod_descr,country_code,prod_status_descr,npd_launch,long_descr,category_descr,development_descr,sector_descr,segment_descr,brand_descr,subbrand_descr,type_descr,set_sample_cd,team_category_descr,price_segment_desc,thumbnail_url,image_url,color
32462,Optimals Hydra Radiance Day Cream,G,Ongoing (N),2017-06-20 00:00:00.000,Optimals Hydra Radiance Hydrating Day Cream Normal/Combination Skin,Skin Care,Global Development,Facial Care,Facial Moisturisers,Optimals,Hydra,Moisturiser Day,REGP,Skin Care,Day Cream,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/3/32/324/32462.ashx?u=0101010000&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/3/32/324/32462.ashx?u=0101010000,NULL
34002,Optimals Hydra Micellar Water,G,Ongoing (N),2018-04-23 00:00:00.000,Optimals Hydra Micellar Cleansing Water,Skin Care,Global Development,Facial Care,Facial Cleansers,Optimals,Hydra,Facial Cleanser,REGP,Skin Care,Cleansers and Toners,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/3/34/340/34002-3.ashx?u=0101010000&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/3/34/340/34002-3.ashx?u=0101010000,NULL
34281,Health Set - Mango Banana,G,Ongoing (N),2016-06-01 00:00:00.000,Health Set - Mango Banana,Wellness,India Products,Vitamins and Dietary Supplement,Combination Non-Herbal/Traditional Dietary Supplements,Wellness by Oriflame,Natural Balance,Wellness Kit,ASET,Wellness,Other,https://media-asia-cdn.oriflame.com/-/media/IN/Images/Catalog/Products/34281.ashx?u=1802150545&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/IN/Images/Catalog/Products/34281.ashx?u=1802150545,NULL
34282,Health Set - Strawberry,G,Ongoing (N),2016-06-01 00:00:00.000,Health Set - Strawberry,Wellness,India Products,Vitamins and Dietary Supplement,Combination Non-Herbal/Traditional Dietary Supplements,Wellness by Oriflame,Natural Balance,Wellness Kit,ASET,Wellness,Other,https://media-asia-cdn.oriflame.com/-/media/IN/Images/Catalog/Products/34282.ashx?u=1802150545&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/IN/Images/Catalog/Products/34282.ashx?u=1802150545,NULL
34283,Health Set - Vanilla,G,Ongoing (N),2016-06-01 00:00:00.000,Health Set - Vanilla,Wellness,India Products,Vitamins and Dietary Supplement,Combination Non-Herbal/Traditional Dietary Supplements,Wellness by Oriflame,Natural Balance,Wellness Kit,ASET,Wellness,Other,https://media-asia-cdn.oriflame.com/-/media/IN/Images/Catalog/Products/34283.ashx?u=1802150545&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/IN/Images/Catalog/Products/34283.ashx?u=1802150545,NULL
32668,Love Nature Face wash Strawberry,G,Ongoing (N),2015-10-01 00:00:00.000,Love Nature Face Wash Strawberry,Skin Care,Global Development,Facial Care,Facial Cleansers,Love Nature,Strawberry,Facial Cleanser,REGP,Skin Care,Cleansers and Toners,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/3/32/326/32668.ashx?u=0101010000&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/3/32/326/32668.ashx?u=0101010000,NULL
32682,M&H Gold Soap Bar,G,Ongoing (N),2016-06-01 00:00:00.000,Milk & Honey Gold Softening Creamy Soap Bar,Personal Care,India Products,Bath & Shower,Bar Soap,Milk & Honey,Milk & Honey,Soap Bar,REGP,Personal & Hair Care,Soap Bar,https://media-asia-cdn.oriflame.com/-/media/IN/Images/Catalog/Products/32682.ashx?u=1802261528&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/IN/Images/Catalog/Products/32682.ashx?u=1802261528,NULL
31808,GG Mineral Pressed Powder,G,Ongoing (N),2015-08-15 00:00:00.000,Giordani Gold Sheer Powder SPF 15 - Light,Colour Cosmetics,Global Development,Facial Make-Up,Powder,Giordani Gold,Not Applicable,Pressed Powder,REGP,Colour Cosmetics,Powder,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/3/31/318/31808.ashx?u=0101010000&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/3/31/318/31808.ashx?u=0101010000,NULL
35486,Citrus Tonic Body Spray,G,Ongoing (N),2018-06-01 00:00:00.000,Men’s Collection Citrus Tonic Perfumed Body Spray,Personal Care,India Products,Deodorant,Deodorants,Oriflame Collection,Men's Collection,Body Spray,REGP,Men Fragrance,Deodorant,https://media-asia-cdn.oriflame.com/-/media/IN/Images/Catalog/Products/35486.ashx?u=1901210434&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/IN/Images/Catalog/Products/35486.ashx?u=1901210434,NULL
35487,Women's Collection Body Spray,G,Ongoing (N),2018-06-01 00:00:00.000,Women’s Collection Jasmine Perfumed Body Spray,Personal Care,India Products,Deodorant,Deodorants,Oriflame Collection,Women's Collection,Body Spray,REGP,Woman Fragrance,Deodorant,https://media-asia-cdn.oriflame.com/-/media/IN/Images/Catalog/Products/35487.ashx?u=1810240437&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/IN/Images/Catalog/Products/35487.ashx?u=1810240437,NULL
35388,Oud Body Spray,G,Ongoing (N),2018-09-01 00:00:00.000,Men's Collection Intense Oud Perfumed Body Spray,Personal Care,India Products,Deodorant,Deodorants,Oriflame Collection,Women's Collection,Body Spray,REGP,Woman Fragrance,Deodorant,https://media-asia-cdn.oriflame.com/-/media/IN/Images/Catalog/Products/35388.ashx?u=1905010541&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/IN/Images/Catalog/Products/35388.ashx?u=1905010541,NULL
117556,Elegant Summer Hand Bag,G,Limited Life (L),2016-02-02 00:00:00.000,Elegant Summer Hand Bag,Other Category,Local Purchase,Corporate Merchandise,Merchandise Material,Non Branded,Not Applicable,Other,REG,Other Category,NULL,https://media-asia-cdn.oriflame.com/-/media/IN/Images/Catalog/Products/117556.ashx?u=1701300826&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/IN/Images/Catalog/Products/117556.ashx?u=1701300826,NULL
1276,Tender Care,G,Ongoing (N),1996-01-01 00:00:00.000,Tender Care Protecting Balm,Skin Care,Global Development,Facial Care,Lip Care,Tender Care,Not Applicable,Lip Balm,REGP,Skin Care,Lip Care,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/1/12/127/1276.ashx?u=0101010000&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/1/12/127/1276.ashx?u=0101010000,NULL
34413,Love Nature Soap Bar Neem & Basil,G,Ongoing (N),2018-02-01 00:00:00.000,Love Nature Soap Bar - Antibacterial Neem & Basil,Personal Care,India Products,Bath & Shower,Bar Soap,Love Nature,Neem,Soap Bar,REGP,Personal & Hair Care,Soap Bar,https://media-asia-cdn.oriflame.com/-/media/IN/Images/Catalog/Products/34413.ashx?u=1805230337&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/IN/Images/Catalog/Products/34413.ashx?u=1805230337,NULL
34414,Love Nature Soap Bar Rose & Sandalw,G,Ongoing (N),2018-02-01 00:00:00.000,Love Nature Soap Bar Rose & Sandalwood,Personal Care,India Products,Bath & Shower,Bar Soap,Love Nature,Not Applicable,Soap Bar,REGP,Personal & Hair Care,Soap Bar,https://media-asia-cdn.oriflame.com/-/media/IN/Images/Catalog/Products/34414.ashx?u=1805230337&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/IN/Images/Catalog/Products/34414.ashx?u=1805230337,NULL
33488,The ONE EXPRESS PeachPerfector Fair,G,Ongoing (N),2017-05-30 00:00:00.000,The ONE EXPRESS Peach Perfector Fair,Colour Cosmetics,India Products,Facial Make-Up,Foundation/Concealer,The ONE,Express,Liquid Foundation,REGP,Colour Cosmetics,Foundation,https://media-asia-cdn.oriflame.com/-/media/IN/Images/Catalog/Products/33488.ashx?u=1803070308&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/IN/Images/Catalog/Products/33488.ashx?u=1803070308,NULL
33520,The ONE Quick Dry Top Coat,G,Ongoing (N),2017-08-22 00:00:00.000,The ONE Quick Dry Top Coat,Colour Cosmetics,Global Development,Nail Products,Other Nail Products,The ONE,Not Applicable,Base & Top Coats,REGP,Colour Cosmetics,Nail Care,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/3/33/335/33520.ashx?u=0101010000&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/3/33/335/33520.ashx?u=0101010000,NULL
33727,The ONE Peel Off Base Coat,G,Ongoing (N),2018-04-02 00:00:00.000,The ONE Peel Off Base Coat,Colour Cosmetics,Global Development,Nail Products,Other Nail Products,The ONE,Not Applicable,Base & Top Coats,REGP,Colour Cosmetics,Nail Care,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/3/33/337/33727.ashx?u=0101010000&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/3/33/337/33727.ashx?u=0101010000,NULL
34416,Love Nature Manicure Pedicure kit,G,Ongoing (N),2018-02-01 00:00:00.000,Love Nature Manicure Pedicure kit,Personal Care,India Products,Foot Care,Foot Care,Love Nature,Not Applicable,Foot Care Set,REGP,Personal & Hair Care,Other,https://media-asia-cdn.oriflame.com/-/media/IN/Images/Catalog/Products/34416.ashx?u=1805311240&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/IN/Images/Catalog/Products/34416.ashx?u=1805311240,NULL
35580,COLOURBOX Semi-Matt Lipstick Candid,G,Ongoing (N),2019-02-01 00:00:00.000,COLOURBOX Semi-Matt Lipstick Candid Pink,Colour Cosmetics,India Products,Lip Products,Lipstick,Colourbox,Not Applicable,Lip Stick,REGP,Colour Cosmetics,Lipstick,https://media-asia-cdn.oriflame.com/-/media/IN/Images/Catalog/Products/35580.ashx?u=1902010616&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/IN/Images/Catalog/Products/35580.ashx?u=1902010616,NULL
32221,Love Nature Face wash Peach,G,Ongoing (N),2015-10-01 00:00:00.000,Love Nature Face Wash Peach,Skin Care,Global Development,Facial Care,Facial Cleansers,Love Nature,Peach,Facial Cleanser,REGP,Skin Care,Cleansers and Toners,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/3/32/322/32221.ashx?u=0101010000&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/3/32/322/32221.ashx?u=0101010000,NULL
32223,Love Nature Face wash Orange,G,Ongoing (N),2015-10-01 00:00:00.000,Love Nature Face Wash Orange,Skin Care,Global Development,Facial Care,Facial Cleansers,Love Nature,Orange,Facial Cleanser,REGP,Skin Care,Cleansers and Toners,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/3/32/322/32223.ashx?u=0101010000&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/3/32/322/32223.ashx?u=0101010000,NULL
13659,Diamond Cellular Anti-ageing Cream,G,Ongoing (N),2008-09-01 00:00:00.000,Diamond Cellular Anti-Ageing Cream,Skin Care,Global Development,Facial Care,Anti-Agers,Diamond,Not Applicable,Anti-Aging Day,REGP,Skin Care,Day Cream,https://media-asia-cdn.oriflame.com/-/media/CN/Images/Catalog/Products/13659.ashx?u=0101010000&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/CN/Images/Catalog/Products/13659.ashx?u=0101010000,NULL
8590,Shower Puff,G,Ongoing (N),2003-06-01 00:00:00.000,Shower Puff,Accessories,Global Development,Beauty Tools,Body & Bath Tools,Non Branded,Not Applicable,Shower Tools,REGP,Accessories,Cosmetic Accessories,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/8/85/859/8590.ashx?u=0101010000&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/8/85/859/8590.ashx?u=0101010000,NULL
32472,The ONE Instant Nail Polish Remover,G,Ongoing (N),2015-09-01 00:00:00.000,The ONE Instant Nail Polish Remover,Colour Cosmetics,Global Development,Nail Products,Polish Remover,The ONE,Care,Nail Polish Remover,REGP,Colour Cosmetics,Nail Care,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/3/32/324/32472.ashx?u=0101010000&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/3/32/324/32472.ashx?u=0101010000,NULL
8617,Cleansing Sponge,G,Ongoing (N),2002-08-01 00:00:00.000,Cleansing Sponge,Accessories,Global Development,Beauty Tools,SkinCare Tools,Non Branded,Not Applicable,Manual cleansing tools,REGP,Accessories,Cosmetic Accessories,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/8/86/861/8617.ashx?u=0101010000&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/8/86/861/8617.ashx?u=0101010000,NULL
32576,GG Iconic All-in-One Mascara,G,Ongoing (N),2016-09-20 00:00:00.000,Giordani Gold Iconic All-in-One Mascara,Colour Cosmetics,Global Development,Eye Make-Up,Mascara,Giordani Gold,Not Applicable,Mascara,REGP,Colour Cosmetics,Mascara,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/3/32/325/32576.ashx?u=0101010000&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/3/32/325/32576.ashx?u=0101010000,NULL
32580,The ONE 5-in-1 Nail Serum,G,Ongoing (N),2016-07-19 00:00:00.000,The ONE 5-in-1 Nail Serum,Colour Cosmetics,Global Development,Nail Products,Nail Treatments/Strengthener,The ONE,Care,Nail Treatment,REGP,Colour Cosmetics,Nail Care,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/3/32/325/32580.ashx?u=0101010000&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/3/32/325/32580.ashx?u=0101010000,NULL
15397,Omega 3,G,Ongoing (N),2008-08-01 00:00:00.000,"Omega 3 ",Wellness,Global Development,Vitamins and Dietary Supplement,Fish Oils/Omega Fatty Acids,Wellness by Oriflame,WellnessPack,FishOils/Omega 3,REGP,Wellness,Wellness,https://media-asia-cdn.oriflame.com/-/media/IN/Images/Catalog/Products/15397.ashx?u=1810090933&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/IN/Images/Catalog/Products/15397.ashx?u=1810090933,NULL
28544,Navy Sunglasses in Case,G,Limited Life (L),2015-04-29 00:00:00.000,Navy Sunglasses in Case,Other Category,Global Development,Recruitment Driver / Activity Driver,Fashion Accessories,Non Branded,Not Applicable,Sunglasses,REGP,Accessories,NULL,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/2/28/285/28544.ashx?u=0101010000&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/2/28/285/28544.ashx?u=0101010000,NULL
21339,Diamond Cellular Micellar Cleanser,G,Ongoing (N),2011-12-18 00:00:00.000,Diamond Cellular Micellar Solution Cleanser,Skin Care,Global Development,Facial Care,Facial Cleansers,Diamond,Not Applicable,Facial Cleanser,REGP,Skin Care,Cleansers and Toners,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/2/21/213/21339.ashx?u=0101010000&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/Images/Catalog/Products/_global/2/21/213/21339.ashx?u=0101010000,NULL
566172,Very Me Peach me Perfect Set Light,IN,Unknown,NULL,Very Me Peach me Perfect Set Light,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,UNKNOWN,Unknown,NULL,https://media-asia-cdn.oriflame.com/-/media/IN/Images/Catalog/Products/566172.ashx?u=1606010734&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/IN/Images/Catalog/Products/566172.ashx?u=1606010734,NULL
566173,Very Me peach me Perfect Set Dark,IN,Unknown,NULL,Very Me peach me Perfect Set Dark,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,UNKNOWN,Unknown,NULL,https://media-asia-cdn.oriflame.com/-/media/IN/Images/Catalog/Products/566173.ashx?u=1606010734&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/IN/Images/Catalog/Products/566173.ashx?u=1606010734,NULL
566214,The One Set  (Welcome Program),IN,Unknown,NULL,The One Set  (Welcome Program),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,UNKNOWN,Unknown,NULL,https://media-asia-cdn.oriflame.com/-/media/IN/Images/Catalog/Products/566214-2.ashx?u=1801250928&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/IN/Images/Catalog/Products/566214-2.ashx?u=1801250928,NULL
566216,Silk Beauty  Set (Welcome Program),IN,Unknown,NULL,Silk Beauty  Set (Welcome Program),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,UNKNOWN,Unknown,NULL,https://media-asia-cdn.oriflame.com/-/media/IN/Images/Catalog/Products/566216.ashx?u=1802150953&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/IN/Images/Catalog/Products/566216.ashx?u=1802150953,NULL
566217,Love Nature  Set (Welcome Program),IN,Unknown,NULL,Love Nature  Set (Welcome Program),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,UNKNOWN,Unknown,NULL,https://media-asia-cdn.oriflame.com/-/media/IN/Images/Catalog/Products/566217.ashx?u=1605240511&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/IN/Images/Catalog/Products/566217.ashx?u=1605240511,NULL
22419,Diamond Cellular Eye Treatment,G,Ongoing (N),2011-10-12 00:00:00.000,Diamond Cellular Multi-Perfection Eye Treatment,Skin Care,Global Development,Facial Care,Anti-Agers,Diamond,Not Applicable,Anti-Aging Eye,REGP,Skin Care,Eye care,https://media-asia-cdn.oriflame.com/-/media/CN/Images/Catalog/Products/22419.ashx?u=0101010000&w=351&h=351,https://media-asia-cdn.oriflame.com/-/media/CN/Images/Catalog/Products/22419.ashx?u=0101010000,NULL
